Player,Year,Age,Pos,Tm,G,MP,perf,PTS
Keyon Dooling,2010,29,PG,NJN,53,971,0,364
Kirk Hinrich,2010,29,SG-SF,CHI,74,2481,0,805
Kobe Bryant,2010,31,SG-SF,LAL,73,2835,1,1970
Kosta Koufos,2010,20,PF-C,UTA,36,172,0,53
Kris Humphries,2010,24,PF-C,TOT,69,1221,1,487
Kurt Thomas,2010,37,PF-C,MIL,70,1049,0,210
Kwame Brown,2010,27,PF-C,DET,48,660,0,157
Kyle Korver,2010,28,SG-SF,UTA,52,952,0,374
Kyle Lowry,2010,23,PG,HOU,68,1651,1,620
Kyrylo Fesenko,2010,23,PF-C,UTA,49,408,0,128
Lamar Odom,2010,30,PF-C,LAL,82,2585,1,882
LaMarcus Aldridge,2010,24,PF-C,POR,78,2922,1,1393
Larry Hughes,2010,31,SG-SF,TOT,45,1115,0,411
Leandro Barbosa,2010,27,PG,PHO,44,786,0,418
LeBron James,2010,25,SG-SF,CLE,76,2966,1,2258
Leon Powe,2010,26,SG-SF,CLE,20,236,0,79
Lester Hudson,2010,25,PG,TOT,25,131,0,58
Lou Amundson,2010,27,PF-C,PHO,79,1168,0,371
Lou Williams,2010,23,PG,PHI,64,1912,1,898
Luc Mbah,2010,23,PF-C,MIL,73,1866,0,453
Luis Scola,2010,29,PF-C,HOU,82,2671,1,1329
Luke Ridnour,2010,28,PG,MIL,82,1759,1,852
Luke Walton,2010,29,SG-SF,LAL,29,272,0,69
Luol Deng,2010,24,SG-SF,CHI,70,2651,1,1230
Luther Head,2010,27,SG-SF,IND,47,813,0,357
Malik Allen,2010,31,PF-C,DEN,51,456,0,105
Malik Hairston,2010,22,SG-SF,SAS,47,317,0,99
Manu Ginobili,2010,32,SG-SF,SAS,75,2150,1,1237
Marc Gasol,2010,25,PF-C,MEM,69,2469,1,1008
Marcin Gortat,2010,25,PF-C,ORL,81,1088,0,293
Marco Belinelli,2010,23,SG-SF,TOR,66,1121,0,469
Marcus Banks,2010,28,PG,TOR,22,244,1,109
Marcus Camby,2010,35,PF-C,TOT,74,2314,1,556
Marcus Thornton,2010,22,SG-SF,NOH,73,1872,1,1057
Marcus Williams,2010,24,PG,MEM,62,872,0,269
Mardy Collins,2010,25,SG-SF,LAC,43,470,0,111
Mario Chalmers,2010,23,PG,MIA,73,1807,0,521
